,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_ccp_alpha,param_criterion,param_max_depth,param_max_features,param_max_leaf_nodes,param_max_samples,param_min_impurity_decrease,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
0,4.390971124172211,0.9024844341426989,0.2733447551727295,0.08084329023404103,True,0.005,gini,,sqrt,50,0.7,0.01,2,4,700,"{'bootstrap': True, 'ccp_alpha': 0.005, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': 50, 'max_samples': 0.7, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 700}",0.9506331254413973,0.9661484288741011,0.9477374041053287,0.9738832940055961,0.9596005631066058,0.010816889892791415,17
1,2.970227897167206,0.5486907730053003,0.17263752222061157,0.05960901336762795,True,0.005,gini,,sqrt,50,0.7,0.01,2,4,500,"{'bootstrap': True, 'ccp_alpha': 0.005, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': 50, 'max_samples': 0.7, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 500}",0.9506343039367228,0.9647379467438553,0.9299912715534988,0.9738832940055961,0.9548117040599183,0.01655113575008896,39
2,2.8261210322380066,0.19985824128788207,0.1589374542236328,0.028601084771093913,True,0.005,gini,,sqrt,50,0.7,0.01,2,4,450,"{'bootstrap': True, 'ccp_alpha': 0.005, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': 50, 'max_samples': 0.7, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 450}",0.9266045548654245,0.9477838022898454,0.9661218211812335,0.9745896445778091,0.9537749557285782,0.018437875155418344,43
3,4.983331561088562,0.8763593896644871,0.3271949887275696,0.10860840292579335,True,0.005,gini,,sqrt,50,0.7,0.01,2,8,700,"{'bootstrap': True, 'ccp_alpha': 0.005, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': 50, 'max_samples': 0.7, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 700}",0.9301305044836186,0.9626229485368024,0.9519852501494916,0.968941661253492,0.9534200911058512,0.014748519742223904,44
4,3.5721529722213745,0.6156007431488465,0.26235032081604004,0.08080999535517912,True,0.005,gini,,sqrt,50,0.7,0.01,2,8,500,"{'bootstrap': True, 'ccp_alpha': 0.005, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': 50, 'max_samples': 0.7, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 500}",0.9513369869636124,0.9619163006111535,0.9654187989491116,0.9682417541369392,0.9617284601652043,0.00640428758791303,13
5,2.6534770131111145,0.43890878029012936,0.1646137237548828,0.059878997670297626,True,0.005,gini,,sqrt,50,0.7,0.01,2,8,450,"{'bootstrap': True, 'ccp_alpha': 0.005, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': 50, 'max_samples': 0.7, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 450}",0.9485177863155407,0.9647365436839122,0.9675343175343176,0.9724726223061271,0.9633153174599745,0.008981133080279627,4
6,4.980832755565643,1.383070968995725,0.22175854444503784,0.050892430018595974,True,0.005,gini,,sqrt,50,0.7,0.01,5,4,700,"{'bootstrap': True, 'ccp_alpha': 0.005, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': 50, 'max_samples': 0.7, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 5, 'min_samples_split': 4, 'n_estimators': 700}",0.9520450385931407,0.9640316860165831,0.9328365320570038,0.9752950078431313,0.9560520661274647,0.015724045529736587,31
7,4.749817132949829,0.5228137800982057,0.27112114429473877,0.09609187515015721,True,0.005,gini,,sqrt,50,0.7,0.01,5,4,500,"{'bootstrap': True, 'ccp_alpha': 0.005, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': 50, 'max_samples': 0.7, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 5, 'min_samples_split': 4, 'n_estimators': 500}",0.9357859844667751,0.9499163016523273,0.9321414318780429,0.9710628069132083,0.9472266312275883,0.015279473453220595,72
8,3.4481590390205383,1.427348360450482,0.1380000114440918,0.042984411468311765,True,0.005,gini,,sqrt,50,0.7,0.01,5,4,450,"{'bootstrap': True, 'ccp_alpha': 0.005, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': 50, 'max_samples': 0.7, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 5, 'min_samples_split': 4, 'n_estimators': 450}",0.9478134070188212,0.9619163006111535,0.9463206207930585,0.9717689717689718,0.9569548250480012,0.010496749574919147,29
9,4.313621640205383,0.7779277305886334,0.24158704280853271,0.08743837396659368,True,0.005,gini,,sqrt,50,0.7,0.01,5,8,700,"{'bootstrap': True, 'ccp_alpha': 0.005, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': 50, 'max_samples': 0.7, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 5, 'min_samples_split': 8, 'n_estimators': 700}",0.9471079460426448,0.9640324015750186,0.935693215339233,0.9738832940055961,0.9551792142406231,0.014773887854429572,36
10,3.209546446800232,0.9048927255441657,0.13998574018478394,0.009044028887618568,True,0.005,gini,,sqrt,50,0.7,0.01,5,8,500,"{'bootstrap': True, 'ccp_alpha': 0.005, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': 50, 'max_samples': 0.7, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 5, 'min_samples_split': 8, 'n_estimators': 500}",0.9499252693907901,0.9661478227654698,0.9307277117088355,0.9731789201036063,0.9549949309921755,0.016352705092810487,37
11,2.8459636569023132,0.8711214862480063,0.13334470987319946,0.021860850766224096,True,0.005,gini,,sqrt,50,0.7,0.01,5,8,450,"{'bootstrap': True, 'ccp_alpha': 0.005, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': 50, 'max_samples': 0.7, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 5, 'min_samples_split': 8, 'n_estimators': 450}",0.9265988560188421,0.9640324015750186,0.9498716734371737,0.9682364386554546,0.9521848424216223,0.01626354704931456,51
12,3.841087579727173,0.7198217000946152,0.20504230260849,0.016623132579843897,True,0.005,gini,,sqrt,100,0.7,0.01,2,4,700,"{'bootstrap': True, 'ccp_alpha': 0.005, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': 100, 'max_samples': 0.7, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 700}",0.9449890081469029,0.9696754637032101,0.9235798178331736,0.9703565935335793,0.9521502208042165,0.019404619548449402,52
13,2.45752876996994,0.16511603109133707,0.13678866624832153,0.014923055640368983,True,0.005,gini,,sqrt,100,0.7,0.01,2,4,500,"{'bootstrap': True, 'ccp_alpha': 0.005, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': 100, 'max_samples': 0.7, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 500}",0.9463981600853109,0.9633274646136094,0.9526897698896665,0.9689428989284333,0.957839573379255,0.008815146093448481,26
14,2.3813071250915527,0.16762300131469854,0.13969993591308594,0.00992486733223949,True,0.005,gini,,sqrt,100,0.7,0.01,2,4,450,"{'bootstrap': True, 'ccp_alpha': 0.005, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': 100, 'max_samples': 0.7, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 450}",0.9301129736212346,0.9668543128533909,0.9300168369064991,0.9745896445778091,0.9503934419897333,0.02051170349603476,62
15,3.4151576161384583,0.15268579721949022,0.19907718896865845,0.0162971280297534,True,0.005,gini,,sqrt,100,0.7,0.01,2,8,700,"{'bootstrap': True, 'ccp_alpha': 0.005, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': 100, 'max_samples': 0.7, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 700}",0.9322686961644402,0.9696748604324419,0.9314142147506668,0.9703556485355648,0.9509283549707784,0.01909080758883515,56
16,2.7301902770996094,0.18266489970351976,0.1634516716003418,0.010727675090335157,True,0.005,gini,,sqrt,100,0.7,0.01,2,8,500,"{'bootstrap': True, 'ccp_alpha': 0.005, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': 100, 'max_samples': 0.7, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 500}",0.9400456534466661,0.9619181188827883,0.9456247480181581,0.9745875179340029,0.9555440095704039,0.013618693702047496,33
17,2.3148590326309204,0.24006790178036963,0.14716613292694092,0.01669281801681485,True,0.005,gini,,sqrt,100,0.7,0.01,2,8,450,"{'bootstrap': True, 'ccp_alpha': 0.005, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': 100, 'max_samples': 0.7, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 450}",0.9527497651314294,0.9732014792799353,0.9519852501494916,0.9717681843176946,0.9624261697196377,0.010075045162374046,9
18,3.681672990322113,0.2700471377499926,0.22359466552734375,0.02575897208331634,True,0.005,gini,,sqrt,100,0.7,0.01,5,4,700,"{'bootstrap': True, 'ccp_alpha': 0.005, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': 100, 'max_samples': 0.7, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 5, 'min_samples_split': 4, 'n_estimators': 700}",0.94640167905066,0.9647373153806977,0.9300168369064991,0.9710609619115695,0.9530541983123566,0.016091261547978793,46
